E I U X F T J Y G W N R D P K H C Q L S B M
0 76 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
76 0 20 0 0 11 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 20 0 30 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 30 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 11 0 0 0 0 8 21 0 17 0 0 0 0 0 0 0 0 0 0 0 0
31 44 0 0 0 8 0 6 0 0 0 0 0 10 0 52 0 0 0 0 0 0
0 0 0 0 0 21 6 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0
0 0 0 4 0 0 0 0 0 0 0 12 0 0 34 0 0 0 0 0 0 0
0 0 0 0 0 17 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 25 0 0 0 0 0 0
0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 5 0 0 0 0 0
0 0 0 0 0 0 10 0 0 0 0 0 18 0 14 0 0 0 0 0 0 0
0 0 0 0 0 0 0 24 34 0 0 0 0 14 0 32 7 0 0 0 35 0
0 0 0 0 0 0 52 0 0 0 25 0 0 0 32 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 5 0 7 0 0 25 22 19 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 16 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 16 0 0 13 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 13 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 7 0
